City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Morehead,US,2021-10-11 00:29:30,37.2711,-87.1764,78.51,73,1,0.0
236,Sorland,NO,2021-10-11 00:26:01,67.667,12.6934,49.64,82,97,10.76
237,Nantucket,US,2021-10-11 00:26:40,41.2835,-70.0995,64.02,91,100,25.81
238,Lagoa,PT,2021-10-11 00:29:30,39.05,-27.9833,70.39,89,100,21.79
239,Izhma,RU,2021-10-11 00:29:31,65.0083,53.9113,33.19,98,100,6.04
240,Muisne,EC,2021-10-11 00:29:31,0.6,-80.0333,74.68,85,100,7.72
241,Nikolskoye,RU,2021-10-11 00:29:31,59.7035,30.7861,50.4,70,12,8.59
242,Mantua,IT,2021-10-11 00:29:32,45.1667,10.7833,52.7,83,2,2.15
243,Dhali,IN,2021-10-11 00:29:32,10.5,77.1667,75.25,85,99,4.94
244,Thunder Bay,CA,2021-10-11 00:24:37,48.4001,-89.3168,64.56,99,90,18.41
245,Cherskiy,RU,2021-10-11 00:29:33,68.75,161.3,10.99,91,71,5.14
246,Mount Darwin,ZW,2021-10-11 00:29:33,-16.7725,31.5838,64.04,78,11,12.06
247,Gigmoto,PH,2021-10-11 00:29:33,13.7796,124.39,84.02,81,76,16.15
248,Kindersley,CA,2021-10-11 00:29:33,51.4668,-109.1682,62.38,38,75,8.05
249,Morant Bay,JM,2021-10-11 00:29:34,17.8815,-76.4093,83.82,78,66,5.08
250,Yaan,NG,2021-10-11 00:29:34,7.3833,8.5667,71.96,95,85,5.08
251,Iberia,US,2021-10-11 00:29:34,29.9502,-91.7507,78.87,83,1,5.75
252,Itarema,BR,2021-10-11 00:29:35,-2.9248,-39.9167,79.38,75,6,16.33
253,Povenets,RU,2021-10-11 00:29:35,62.8487,34.8262,50.7,91,100,11.99
254,Takaungu,KE,2021-10-11 00:29:35,-3.6837,39.8566,75.96,85,33,11.9
255,Ambon,ID,2021-10-11 00:29:36,-3.6954,128.1814,84.34,89,20,2.3
256,Marmande,FR,2021-10-11 00:29:36,44.5,0.1667,49.87,95,57,4.79
257,Bogdana,RO,2021-10-11 00:29:36,43.9333,25.0833,48.63,62,97,11.59
258,Kudahuvadhoo,MV,2021-10-11 00:29:37,2.6708,72.8944,82.87,75,98,14.85
259,Ostrovnoy,RU,2021-10-11 00:26:22,68.0531,39.5131,42.91,94,100,3.96
260,Longyearbyen,SJ,2021-10-11 00:29:37,78.2186,15.6401,28.24,74,75,8.05
261,San Patricio,US,2021-10-11 00:29:38,28.017,-97.5169,86.09,73,40,18.66
262,Cantagallo,CO,2021-10-11 00:29:38,7.376,-73.9196,76.05,93,72,1.61
263,Barranca,PE,2021-10-11 00:29:38,-10.75,-77.7667,62.74,88,52,6.6
264,Luderitz,NA,2021-10-11 00:29:39,-26.6481,15.1594,71.1,35,6,4.21
