City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Piacabucu,BR,74.62,broken clouds,-10.4056,-36.4344,Piaçabuçu News
591,Akyab,MM,86.34,broken clouds,20.15,92.9,Hotel Memory
592,Gotsu,JP,77.14,overcast clouds,35,132.2167,Yurusato
595,Anloga,GH,77.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
603,Caucaia,BR,83.07,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
605,Horn Lake,US,77.02,clear sky,34.9554,-90.0348,"Hilton Garden Inn Memphis/Southaven, MS"
610,Bambanglipuro,ID,82.42,overcast clouds,-7.95,110.2833,Puri Brata
611,Bubaque,GW,81.66,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
614,Balabac,PH,84.69,heavy intensity rain,7.9868,117.0645,Sing and Swing Lodge
618,Khandbari,NP,79.34,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
619,Hervey Bay,AU,81.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
622,Port-Gentil,GA,78.1,overcast clouds,-0.7193,8.7815,Fengshui Residence
630,Palimbang,PH,85.6,moderate rain,6.2106,124.1894,Felmar Beach resort
631,Pakxe,LA,87.94,scattered clouds,15.1167,105.7833,Champasak Palace Hotel
632,Kazerun,IR,77.99,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
634,Denham Springs,US,75.85,clear sky,30.4869,-90.9562,Hampton Inn Baton Rouge - Denham Springs
635,Bowen,AU,82.62,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
636,Panzhihua,CN,75.7,broken clouds,26.5851,101.7128,Electric Power Hotel
637,Tarauaca,BR,76.5,scattered clouds,-8.1614,-70.7656,Flat Temporada
645,Bud,US,73.38,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
647,Kismayo,SO,78.53,scattered clouds,-0.3582,42.5454,Agan-Hotel
660,Sokoni,TZ,76.69,light rain,-6.4333,39.55,Ujamaa Beach Resort
661,Alamos,MX,75.72,clear sky,27.0167,-108.9333,Luz del Sol
663,Acarau,BR,78.39,clear sky,-2.8856,-40.12,castelo pizzaria
665,Bosaso,SO,84.18,few clouds,11.2842,49.1816,Red Sea Hotel
668,Kathu,TH,87.62,broken clouds,7.9178,98.3332,Novotel Phuket Resort
671,Bandarbeyla,SO,80.82,scattered clouds,9.4942,50.8122,JABIR HOTEL
674,Nishihara,JP,84.25,heavy intensity rain,26.1842,127.7558,Minshuku Agaihama
677,Natchitoches,US,76.05,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
678,Emerald,AU,87.94,overcast clouds,-23.5333,148.1667,The Irish Village
